City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,ribeira grande,40,PT,1522609200,72,38.52,-28.7,62.6,26.4
1,yellowknife,20,CA,1522609200,55,62.45,-114.38,8.6,10.29
2,hithadhoo,100,MV,1522610550,98,-0.6,73.08,86.0,9.64
3,peniche,0,PT,1522609200,55,39.36,-9.38,60.8,8.05
4,chuy,92,UY,1522610559,94,-33.69,-53.46,71.51,19.71
5,butaritari,80,KI,1522610551,97,3.07,172.79,83.57,13.33
6,ushuaia,75,AR,1522605600,71,-54.81,-68.31,51.8,8.97
7,mataura,80,NZ,1522610559,63,-46.19,168.86,57.38,17.92
8,maua,44,KE,1522610560,89,0.23,37.94,64.49,1.7
9,ulladulla,68,AU,1522605600,93,-35.36,150.48,64.4,5.82
10,kantunilkin,75,MX,1522608360,69,21.1,-87.49,80.6,6.93
11,jamestown,0,AU,1522610561,91,-33.21,138.6,49.46,4.72
12,east london,90,ZA,1522605600,94,-33.02,27.91,73.4,10.29
13,high prairie,0,CA,1522610565,49,55.43,-116.48,15.8,3.49
14,souillac,0,FR,1522609200,62,45.6,-0.6,53.6,5.82
15,pacific grove,1,US,1522608900,67,36.62,-121.92,66.2,6.93
16,mahebourg,40,MU,1522609200,83,-20.41,57.7,80.6,6.93
17,cidreira,88,BR,1522610558,88,-30.17,-50.22,75.2,10.09
18,maceio,75,BR,1522605600,88,-9.67,-35.74,77.0,8.05
19,pevek,0,RU,1522610559,72,69.7,170.27,11.21,9.75
20,evensk,92,RU,1522610274,89,61.92,159.24,31.82,15.12
21,rikitea,56,PF,1522610559,100,-23.12,-134.97,77.18,8.75
22,longyearbyen,75,NO,1522608600,46,78.22,15.63,10.4,17.22
23,thompson,75,CA,1522609200,40,55.74,-97.86,-2.21,11.41
24,hilo,1,US,1522608780,65,19.71,-155.08,78.8,9.17
25,barrow,0,AR,1522610568,60,-38.31,-60.23,70.16,11.99
26,puerto ayora,40,EC,1522605600,65,-0.74,-90.35,82.4,9.17
27,dabat,64,ET,1522610569,92,12.98,37.77,54.77,1.7
28,punta arenas,0,CL,1522605600,54,-53.16,-70.91,57.2,24.16
29,severo-kurilsk,48,RU,1522610570,100,50.68,156.12,26.78,10.98
30,hermanus,8,ZA,1522610570,71,-34.42,19.24,68.0,4.05
31,lasa,20,CY,1522609200,87,34.92,32.53,62.6,5.82
